pl_name,hostname,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_tranmid,st_teff
KOBE-1 b,KOBE-1,2025,8.5399,2.91,8.8,2459484.26,4135.0
Gl 725 A b,Gl 725 A,2025,11.2201,1.48,2.78,,3433.0
KOBE-1 c,KOBE-1,2025,29.671,3.56,12.4,2459448.2,4135.0
G 261-6 b,G 261-6,2025,5.4536,1.1,1.37,2459345.14,2907.0
G 192-15 b,G 192-15,2025,2.27476,1.02,1.03,2457851.82,2999.0
TOI-6894 b,TOI-6894,2025,3.37077196,9.5836785,53.39517238,2460313.41167,3007.0
TOI-1266 d,TOI-1266,2025,32.509,1.74,3.68,2458729.03,3563.0
TOI-3493 b,TOI-3493,2025,8.1594667,3.22,8.97,2459313.0467455,5844.0
OGLE-2016-BLG-0007L b,OGLE-2016-BLG-0007L,2025,14200.0,1.09,1.32,,
TOI-2969 b,TOI-2969,2025,1.8237146,12.32987877,368.68095212,2459303.30015,4738.0
GJ 341 b,GJ 341,2025,7.57686,0.88,4.0,2459301.771,3770.0
TOI-2015 c,TOI-2015,2025,5.582796,2.93,8.91,,3297.0
TOI-2005 b,TOI-2005,2025,17.305904,11.99360935,2034.1018048,2458549.8376,7130.0
HD 35843 c,HD 35843,2025,46.9622,2.54,11.32,2459221.7562,5666.0
HD 35843 b,HD 35843,2025,9.8991,2.29,5.84,2459889.691,5666.0
ZTF J1828+2308 b,ZTF J1828+2308,2025,0.1120067,11.13051784,6356.56814,2460431.6494044,15900.0
KMT-2019-BLG-0578L b,KMT-2019-BLG-0578L,2025,,13.7,381.3940884,,
TOI-1803 c,TOI-1803,2025,12.885779,4.29,8.0,2458911.6747,4687.0
Barnard d,Barnard's star,2025,2.3402,0.694,0.263,,3195.0
MOA-2022-BLG-091L b,MOA-2022-BLG-091L,2025,,13.0,1141.00398113,,
KMT-2024-BLG-1209L b,KMT-2024-BLG-1209L,2025,,13.2,839.06699448,,
TOI-2986 b,TOI-2986,2025,3.2783662,9.292245,96.61983573,2459537.62548,5906.0
TOI-201 c,TOI-201,2025,2800.0,11.13051784,4513.1633794,2460062.593,6394.0
TOI-2141 d,TOI-2141,2025,60.45,3.97,14.9,2458940.5,5635.0
TOI-2141 c,TOI-2141,2025,5.4624,2.35,6.14,2458979.19,5635.0
TOI-3135 b,TOI-3135,2025,3.7065585,13.65253849,327.36325921,2459595.16441,5890.0
TOI-2992 b,TOI-2992,2025,3.007812,13.75341932,1058.36859531,2459503.55851,6000.0
TOI-3160 A b,TOI-3160 A,2025,3.971281,13.7646283,378.21580433,2459609.9851,6190.0
TOI-1011 b,TOI-1011,2025,2.470498,1.45,4.04,2458489.9776,5475.0
TOI-1203 d,TOI-1203,2025,25.502672,2.918,7.39,2458553.0711,5737.0
TOI-756 b,TOI-756,2025,1.2392495,2.81,9.83,2458570.65234,3657.0
TOI-756 c,TOI-756,2025,149.4,13.0,1287.20504835,2460498.882,3657.0
TOI-283 b,TOI-283,2025,17.61745,2.34,6.54,2459549.0822,5213.0
TOI-5143 c,TOI-5143,2025,5.2097118,16.25302201,,2459527.24264,5183.0
WASP-155 b,WASP-155,2025,3.110413,13.45077684,276.8285425,2459852.08494,5660.0
HD 102888 b,HD 102888,2025,252.06,12.8,1808.44363583,,4990.0
HD 143811 AB b,HD 143811 A,2025,117000.0,15.69257298,1938.7532827,,6791.0
TOI-2719 b,TOI-2719,2025,3.37594,5.98,29.9,2459882.955,5762.0
TOI-5795 b,TOI-5795,2025,6.1406325,5.62,23.66,2459770.67397,5715.0
KMT-2023-BLG-1896L b,KMT-2023-BLG-1896L,2025,,4.19,16.35,,
TOI-7041 b,TOI-7041,2025,9.691,11.43316031,114.41822652,2460160.393,4700.0
L 98-59 f,L 98-59,2025,23.064,1.48,2.8,2458437.84,3415.0
Barnard e,Barnard's star,2025,6.7392,0.637,0.193,,3195.0
TOI-1438 b,TOI-1438,2025,5.13967,3.04,9.4,2458683.6256,5230.0
G 268-110 b,G 268-110,2025,1.43263,1.13,1.52,2457613.435,
K2-157 d,K2-157,2025,66.5,5.16,23.3,2458589.3,5334.0
TOI-2076 e,TOI-2076,2025,3.0223445,1.355,2.4,2458740.21306,5192.0
TOI-5786 b,TOI-5786,2025,12.779107,8.54,73.0,2460140.6139,6235.0
TOI-3682 b,TOI-3682,2025,3.3462406,12.80065596,69.28659273,2459692.65921,5703.0
G 192-15 c,G 192-15,2025,1219.0,3.87,14.3,2458813.0,2999.0
TOI-6324 b,TOI-6324,2025,0.279221,1.059,1.17,2458739.97928,3247.0
HD 20794 f,HD 20794,2025,647.6,2.28,5.82,2459933.0,5368.0
TOI-1743 b,TOI-1743,2025,4.266046,1.83,4.01,2459575.1723,3277.0
TOI-5300 b,TOI-5300,2025,2.262196,9.86390302,190.6970442,2459470.4174,4610.0
HD 135344 A b,HD 135344 A,2025,,16.25302201,3178.28407,,9540.0
WISPIT 1 b,WISPIT 1,2025,,12.4,3305.4154328,,4670.0
HD 87816 b,HD 87816,2025,484.17,12.7,2142.16346318,,4989.0
TOI-512 b,TOI-512,2025,7.18886,1.54,3.57,2458471.212,5277.0
HD 73344 c,HD 73344,2025,65.94,13.5,118.54999581,2455482.98,6148.0
WASP-154 b,WASP-154,2025,3.811678,10.76062147,198.96058278,2459465.89195,4774.0
Gl 410 b,Gl 410,2025,6.02,2.83,8.4,,3842.0
