ra,dec,type,flux_g,flux_r,flux_z,flux_w1,flux_w2,flux_ivar_g,flux_ivar_r,flux_ivar_z
179.91456109607523,22.909452868056697,REX,0.358446,0.279274,0.824836,1.42854,1.196661,1127.9974,269.0119,44.324097
179.91441293280928,22.911414787032072,EXP,0.238222,1.179847,4.389115,22.55569,15.380227,1111.0325,243.74669,40.709953
179.9153684439765,22.91202155567074,PSF,0.093217,0.234113,0.320367,2.755261,1.717849,2166.2207,504.62216,114.16819
179.91160734363302,22.9134503609322,REX,0.168538,0.416595,0.658972,0.610078,0.021726,1852.1525,424.4497,71.11686
179.91049496739242,22.914723072367423,PSF,0.152808,0.541511,2.518136,0.106627,-2.120581,2145.9192,487.36725,80.92285
179.9135996802445,22.912925573872094,PSF,0.102208,0.142046,0.12792,0.295014,-0.087936,2173.8525,511.7601,83.22704
179.90451537741515,22.916145871102938,PSF,0.171712,0.113041,0.155034,-0.271207,0.164314,2198.2478,510.84317,82.97104
179.90438487165522,22.91703901169101,PSF,0.214085,0.357446,0.82829,1.008752,-0.869168,2352.4497,495.99695,82.45812
179.90601988207658,22.91622197082174,REX,0.218845,0.271143,0.758195,0.894685,0.631384,1297.0095,303.11075,49.927704
179.9029709468313,22.918195703866807,PSF,0.031814,0.061714,0.695035,5.776951,6.747115,2747.5977,605.86487,82.392944
179.91307241861003,22.915751784593,PSF,0.237896,0.240706,0.405249,0.644848,-3.068965,2107.712,499.59662,82.98982
179.9155877358515,22.9171738906706,DEV,1.110036,5.309598,11.714345,18.494713,10.660678,1101.7361,228.21744,62.264656
179.91301356303347,22.918969499512716,REX,0.163938,0.269594,0.28912,-0.818847,-2.148196,1769.426,414.42398,68.2673
179.91681192783244,22.906995983700867,PSF,0.096035,0.183215,0.190763,-0.756886,-1.671064,2189.815,508.78726,113.846634
179.91611867550756,22.90711038770736,REX,0.185203,0.479842,1.589663,7.814634,7.353682,1730.1487,397.8085,91.75359
179.91813053588834,22.907827116713428,REX,0.155414,0.367636,0.970703,10.482257,11.956549,1217.1622,359.50928,65.602486
179.91975443467206,22.90706948416373,PSF,9.548643,12.864291,13.640232,1.518337,0.62958,1035.2914,306.62106,99.26906
179.92108445866197,22.909227052639228,REX,0.170301,0.161678,0.4037,1.146552,2.375075,1510.7422,350.2925,62.926723
179.92671834640896,22.90923954623808,REX,0.587142,1.502345,3.484119,7.614911,4.868046,1489.9575,340.73172,63.9831
179.9311006093139,22.902407129127432,REX,0.113388,0.079857,0.73907,3.294254,4.981518,1924.4302,444.57947,72.33372
179.9354017322543,22.90104239970642,REX,0.114918,0.295444,0.465048,1.130747,2.036027,1721.2306,494.74948,80.107666
179.94348089521318,22.90035062194905,REX,0.174249,0.471398,0.676555,2.275049,0.466222,1096.2122,224.3479,37.643295
179.9404073258714,22.90315739435849,REX,0.608712,0.872026,1.993293,3.720099,0.698091,1420.7615,336.1811,49.0718
179.9316800327771,22.904095823341503,PSF,0.175391,0.074223,0.287629,-0.880161,0.718655,2672.585,629.62866,114.488075
179.93244993839917,22.904336916304512,REX,0.145805,0.203748,0.573023,1.676286,-1.054307,2062.3074,473.05942,86.38845
179.93332230138626,22.90506051107893,PSF,0.155123,0.125517,0.076467,-0.077336,-0.201895,2684.8528,628.2762,114.473656
179.93619768742138,22.90362132126534,PSF,0.124769,0.133588,0.423867,-1.017716,-2.617993,2698.23,626.4475,113.96857
179.93396058547845,22.905855493299185,PSF,0.0836,0.209706,0.506425,0.06112,1.970884,2718.2344,622.66046,113.85525
179.93219978923574,22.90680511397645,EXP,0.5712,0.750356,2.069595,2.037604,-4.926876,964.68665,230.58212,40.917606
179.93182285730535,22.907133639029137,PSF,0.123619,0.182629,0.165588,1.537056,8.098302,2643.2393,618.50745,113.80823
179.93367702341277,22.907949060496247,REX,0.170359,0.318008,1.192523,3.822158,1.949564,1937.3718,442.04794,81.01282
179.94008673034887,22.9059643571462,PSF,0.366075,0.649366,0.913374,-0.019158,0.146603,2570.4827,597.87946,113.084274
179.9407690769042,22.90512887768287,PSF,0.201207,0.464274,0.597981,0.049486,-1.631423,2668.3843,609.30536,113.86006
179.94252052767763,22.905137145231453,PSF,0.173222,0.270463,0.800425,1.042908,-3.830287,2674.0034,620.69543,113.71651
