ra,dec,type,flux_g,flux_r,flux_z,flux_w1,flux_w2,flux_ivar_g,flux_ivar_r,flux_ivar_z,photo_z,color_g-r,color_r-z,photo_z_calidad,distancia_photoz_Mpc
179.8162897854375,-0.1751791715833094,PSF,0.339128,1.095881,1.910143,2.930063,1.248283,1010.9834,7.296426,122.274994,0.3088632744086004,1.2734993717539531,0.6032562098007475,buena,1322.7840031554686
179.8044223856306,-0.1727257316572921,REX,0.143607,0.415773,1.468542,6.54417,3.893898,195.14381,137.7861,79.25014,0.3940617041145993,1.1542016835131967,1.370075221575334,buena,1687.6675268597776
179.8108341306716,-0.1733148709483679,PSF,0.0,1.731987,3.947214,4.46268,1.843747,0.0,61.017166,50.27588,,,,sin_datos,
179.8087116963515,-0.172883875126615,REX,0.0,0.0,2.119446,4.259529,4.169446,0.0,0.0,21.15684,,,,sin_datos,
179.80500345066525,-0.1683109324914548,REX,-0.00214,0.111264,1.083312,4.090343,1.021285,203.23523,145.65756,82.92799,,,,sin_datos,
179.80841125018625,-0.1706848680139936,PSF,0.0,0.0,0.951923,2.989961,0.816516,0.0,0.0,50.810425,,,,sin_datos,
179.81153647814344,-0.1681261027860639,PSF,0.0,0.0,2.401748,2.319543,-0.660468,0.0,0.0,51.34525,,,,sin_datos,
179.82022411265234,-0.1811324052211042,EXP,0.678812,1.17038,1.312282,0.388398,1.791175,628.25354,217.5466,34.235233,0.06649846791226874,0.5914434515176232,0.12425070021908624,buena,284.79627355218815
179.81853739205943,-0.1752877912416101,REX,0.385873,0.995239,2.183277,6.564168,3.938185,454.33,113.01518,49.705315,0.2851199167195453,1.0287074866630412,0.8529536336919001,buena,1221.0971522586826
179.82263071383025,-0.1783446904231186,REX,0.308612,0.274149,0.400929,-0.156025,-0.457504,842.7038,296.17984,78.82286,0.0,-0.12856535749372,0.41270201177879784,buena,
179.82409829177993,-0.1765958990159696,REX,-4.5e-05,0.32235,1.963815,16.990437,16.174702,980.424,334.92517,87.915886,,,,sin_datos,
179.82595121213558,-0.1755996687472543,PSF,0.383492,1.838338,12.531559,9.412745,4.999819,1240.2706,410.72867,108.05993,0.6380105619443028,1.7016726398320685,2.0839493465752383,media,2732.439351360626
179.81947278934234,-0.1724089989715492,EXP,0.542854,1.726127,2.950722,6.84951,6.854351,254.2791,40.520428,10.244908,0.3013143955592422,1.2559742589106477,0.5821388722105354,buena,1290.4540467927072
179.82246847692215,-0.1719992317097678,PSF,0.187977,0.187636,0.424677,0.969676,0.051262,924.43567,325.45935,65.28212,0.03253562291762113,-0.0019713702536243716,0.8868564365401816,buena,139.34191952906815
179.81887073757875,-0.1710409828632224,REX,0.922179,1.47558,1.515065,4.79894,4.822694,386.6206,74.80714,34.5554,0.031892897008215286,0.5103688299859357,0.02867126341154247,buena,136.5892855261958
179.82839331005889,-0.1746766201151348,PSF,2.140074,3.951391,6.057601,27.141098,50.861946,977.66187,357.78137,63.38537,0.13603225635608157,0.6658030389533884,0.4638766441182298,buena,582.5920642896544
179.8332993328047,-0.199559476037824,SER,7.480199,20.904501,47.56897,84.14735,70.07211,299.45203,92.32112,40.42198,0.3128606368654305,1.1158166335007778,0.8927098566015736,buena,1339.9037048190403
179.83399104087866,-0.1976380419082445,DEV,1.078198,6.831302,22.294777,65.16343,39.44251,318.4585,96.80701,40.86705,0.5937654698828476,2.0045124081599788,1.2842491189523528,media,2542.948709881484
179.83436400680063,-0.1964616821395054,REX,0.154742,0.664195,0.937248,-1.932449,-2.818542,368.5191,121.08766,48.11346,0.35151421780472686,1.581718490610573,0.3738973010138906,buena,1505.447305394663
179.8375880977389,-0.1980816018828846,REX,0.228606,0.417079,1.230801,4.112792,5.145144,596.9714,202.19537,76.77742,0.2394452556131151,0.6528267471970928,1.1749237920922795,buena,1025.4840248099154
179.8358415321112,-0.1975313838848554,PSF,0.413357,2.021239,21.252903,17.103292,11.111124,1225.4102,404.94217,133.38646,0.7139829545062066,1.723230932021231,2.554501476672659,baja,3057.8100700216837
179.83734058950262,-0.1965026161674752,REX,0.167329,0.220279,0.378672,0.273403,-2.348499,1097.7012,393.10385,144.93045,0.06285996184435554,0.29850470159579245,0.5882252429693828,buena,269.21346387293653
179.83982307448076,-0.1997102499155785,REX,0.113283,0.60844,3.811955,12.929196,10.418526,1151.3987,395.44333,146.2146,0.6551318878298549,1.8251325400662424,1.9923250187552952,media,2805.7656995241778
179.8455189214656,-0.1986161154017096,EXP,0.66553,0.930516,1.78009,2.282983,-0.625412,501.06262,171.5227,67.03547,0.09661692340289338,0.3638905205973231,0.7042952883570841,buena,413.78607073358756
179.84907824172592,-0.198486865155797,PSF,0.163788,0.142904,0.033841,1.145624,1.76122,1279.8127,475.44067,177.95161,0.0,-0.1480942364849973,-1.5640029932017363,media,
179.84797057870074,-0.1964348962246881,PSF,1.67225,1.921477,2.802924,12.22308,16.48843,1012.94214,407.56448,171.73741,0.0,0.1508349642996798,0.40994032969874183,buena,
179.84982349780455,-0.1982568272108036,PSF,0.153267,0.110301,0.427592,-0.571802,0.334734,1281.7368,474.0624,177.3185,0.03137554119530675,-0.3571730173150591,1.4711253034938103,buena,134.37358022887526
179.8584134170301,-0.1976545654758188,PSF,0.047134,0.096421,0.397995,-1.424423,1.460374,1306.0686,475.65985,175.94872,0.3251630779360852,0.7770933346044053,1.5392649618998924,media,1392.591976932922
179.8572765288221,-0.1962664162215258,REX,1.914384,4.129405,6.434054,6.139439,3.15894,635.86584,216.5754,91.79521,0.18088547297803093,0.8346460585424751,0.481493055616081,buena,774.687150865378
179.86183047500575,-0.1969777142335947,PSF,0.114772,0.230005,0.170634,0.154398,-0.463514,1296.5048,467.51794,176.82329,0.040061440096200045,0.7547533186016047,-0.3241792636946741,buena,171.5731085351367
179.8636195977723,-0.1962558175172904,PSF,0.083112,0.518846,1.18934,3.018831,2.772213,1298.6874,457.42102,175.1491,0.5322095444546828,1.9884368491619142,0.9006688810946955,buena,2279.320107187566
179.86925387221433,-0.1994226524901944,REX,0.485844,0.540644,1.429516,1.136434,3.534498,202.6571,66.78793,27.379244,0.08736320230553679,0.11603635972437232,1.0556940824962915,buena,374.15470225611625
179.8681819087301,-0.1980076303434601,PSF,0.18792,0.199977,0.389168,0.487789,-0.130759,1266.5662,470.44495,176.75151,0.02531330579921319,0.06751761289255143,0.7228926838405023,buena,108.4105452235968
179.8714855442997,-0.1962460746180216,REX,0.112883,0.262897,0.476802,0.908656,-0.394901,903.14197,313.40857,115.725876,0.22643034398352632,0.9178927186804486,0.6463810954227611,buena,969.744419837241
179.8810949986787,-0.1996603064683841,REX,0.205568,0.277832,0.551477,1.415044,-1.360238,968.3908,343.17575,100.55132,0.09342114883757925,0.32706688663039074,0.7443628478665438,buena,400.0993691314532
179.88063525038717,-0.1969380706829491,REX,0.197626,0.399856,0.659009,1.183756,0.683354,672.0239,229.53403,85.91175,0.172657608628446,0.7651488416554955,0.542469321430481,buena,739.4492697589119
179.88779508370231,-0.1992999655012468,EXP,0.849598,1.339428,1.752743,0.283986,-1.732823,742.0951,262.31808,101.89598,0.06736575797709321,0.49426472998697335,0.29199716986899915,buena,288.5106595569411
179.8336402580382,-0.1890232189128104,EXP,0.378548,0.972295,1.899191,3.502514,3.422648,695.1102,236.59764,83.00077,0.26508715693660356,1.024192741029836,0.7269264778609639,buena,1135.3018623179446
179.83645639192542,-0.1915389087502551,REX,0.057539,0.564284,3.446481,17.258972,8.706583,866.4554,292.4329,108.41171,0.814413948674277,2.478838566106944,1.9646953809836063,media,3487.9308500363904
179.8422254992562,-0.1956644893464575,REX,1.065116,3.014737,6.805477,20.28085,10.048839,593.87915,196.88684,68.11962,0.31501125383956585,1.1296313061438,0.8840228486907726,buena,1349.1142583746482
179.8410595754713,-0.1925070552609671,PSF,0.588337,1.227207,1.631817,0.075025,0.979589,1193.674,429.14545,174.5015,0.14596489988804534,0.798229155461943,0.30938407348373076,buena,625.1310874165862
179.8435886197089,-0.1952728082457697,EXP,0.526529,2.292222,6.136682,28.940355,18.261786,489.436,160.6647,64.28288,0.45965034113354764,1.59708595078596,1.0691923562470507,buena,1968.5672226994964
179.8452987863107,-0.1943027399294432,REX,0.732467,2.7739,6.818696,23.588247,10.483889,775.31976,253.08142,101.69917,0.4079181589252071,1.4457568436537187,0.9765263200785164,buena,1747.0112503860353
179.83252741050595,-0.1859911185150036,PSF,0.143639,0.367288,0.616054,0.393533,1.10081,1289.6567,462.1752,124.39083,0.23906349490455803,1.0193359159913697,0.5615301060447706,buena,1023.8490393643989
179.83738571315655,-0.1832859692053062,DEV,0.085226,0.832107,3.590911,10.718962,6.151268,891.2479,300.12045,112.5912,0.756638968297929,2.4740176743665323,1.5875636647086395,media,3240.4950874945744
179.83591692301337,-0.1821387299013612,PSF,-0.014494,0.125422,1.705949,0.896094,0.144829,1325.3296,474.06284,174.81425,,,,sin_datos,
179.84015741042472,-0.1882438988171422,PSF,0.129271,0.189977,0.431612,1.312843,-1.150141,1112.1672,470.30118,177.55284,0.13814713011280835,0.417999792233541,0.8909812136961541,buena,591.649538602352
179.84408219434786,-0.1880319206598948,EXP,1.883549,3.192097,4.200046,2.3994,2.517815,558.0871,208.00348,86.66148,0.08787871089503499,0.5727478932197165,0.2979449172673725,buena,376.3624963584846
179.84103031434125,-0.1842213797132835,REX,0.55403,1.792061,5.940891,16.412262,7.575335,572.1763,189.00572,73.77104,0.4138242400824754,1.2745487667319892,1.3012469893298544,buena,1772.3055159186774
179.83989811604073,-0.1832296681265072,EXP,0.468408,0.565903,0.797273,1.873113,1.893482,476.56158,158.47545,62.668488,0.00714795545441084,0.2052942310391792,0.3721626512974403,buena,30.612901933604746
179.84260420674946,-0.182212815923332,DEV,0.307828,0.617851,3.180495,11.114018,8.242839,360.29138,122.26613,47.26,0.35596388200025475,0.7564390831374403,1.7790274081059643,media,1524.5041020582617
179.84371652322466,-0.1843002956544298,REX,-0.006096,0.142717,0.789966,11.539439,4.324292,661.9451,223.62328,84.024345,,,,sin_datos,
