objid,ra,dec,z,class
1237674650465599608,180.062659527151,0.126634834143587,0.1782645,GALAXY
1237674650465665257,180.270296877679,0.0797693617979175,0.07960711,GALAXY
1237648721767563422,179.921720374046,0.259619546557451,0.07601459,GALAXY
1237648721230758103,180.120315430873,-0.123569091218079,0.08124281,GALAXY
1237648721230823502,180.139902543654,-0.193455324282186,0.08101622,GALAXY
1237648721230823618,180.194075015598,-0.0213729366903294,0.1645887,GALAXY
1237648721230823696,180.194347527023,-0.105574585612044,0.1661376,GALAXY
1237648721230889115,180.307077839986,-0.187448506767141,0.1683727,GALAXY
1237648721767629507,180.082985806923,0.238359261817516,0.109032,GALAXY
1237674649928794219,180.176735646197,-0.231122264616218,0.08058569,GALAXY
1237674649928859774,180.30565188517,-0.222637883913451,0.1792283,GALAXY
