objid,ra,dec,z,class
1237674649391464729,179.144575810076,-0.819508335199178,0.1410789,GALAXY
1237674649928335947,179.151164844024,-0.32260224635276,0.2761872,GALAXY
1237648720693559973,179.335289374201,-0.559149166182476,0.1300647,GALAXY
1237648722304172319,179.336670046012,0.664413822831553,0.2002206,GALAXY
1237674650465337643,179.515878285418,0.0985503442340148,0.2531746,GALAXY
1237648720693624990,179.516442630706,-0.520749179033345,0.1274713,GALAXY
1237674650465338142,179.521429045805,0.0821212795363102,0.269323,GALAXY
1237674651002208376,179.522508943713,0.537633296006609,0.1687199,GALAXY
1237674651539079235,179.525479171582,0.853832365382731,0.2815042,GALAXY
1237648720693690521,179.539474487257,-0.595325929517885,0.08446588,GALAXY
1237648720693756176,179.754212141942,-0.545451447409319,0.0768301,GALAXY
1237674651539210391,179.760475311543,0.852762092450381,0.1311904,GALAXY
1237674650465468685,179.761242785875,0.190790197847586,0.178575,GALAXY
1237648721767497878,179.762035409737,0.285591089762163,0.1683328,GALAXY
1237674651539210483,179.772157486904,0.956837559696762,0.259335,GALAXY
1237654670822342719,179.774042795737,0.563153390573342,0.07863547,GALAXY
1237648720693756185,179.774918351052,-0.444891118871527,0.1774526,GALAXY
1237648720693821710,179.85927482977,-0.43209395825067,0.08288149,GALAXY
1237674650465534375,179.860377017781,0.100612856639923,0.2012674,GALAXY
1237648720156950691,179.870203039293,-0.925879177616613,0.1296097,GALAXY
1237674651539275892,179.870725572485,0.938854210894913,0.1638445,GALAXY
1237648722304434271,179.877674964265,0.647705002523709,0.08554301,GALAXY
1237674649928663552,179.879519617125,-0.392664118887629,0.2284013,GALAXY
1237674649391792192,179.880787046641,-0.78214785181047,0.1500178,GALAXY
1237648720156950712,179.88472168623,-0.996055449108469,0.07465415,GALAXY
1237648721767563385,179.887378637212,0.372857518479586,0.1983512,GALAXY
1237674649391792330,179.983636316233,-0.683068031344394,0.08007734,GALAXY
1237648722304499821,179.991076795617,0.774467974423368,0.1053644,GALAXY
1237674649928663314,179.996017910263,-0.259776680527013,0.103913,GALAXY
1237648720693887114,179.998441209699,-0.464161711738539,0.0803973,GALAXY
1237648721767628921,180.000002112472,0.414892810314718,0.0857684,GALAXY
1237674649928728657,180.011622589392,-0.405577254917108,0.0798995,GALAXY
1237648721230889136,180.331286598997,-0.108861712157105,0.1620177,GALAXY
