ra,dec,type,flux_g,flux_r,flux_z,flux_w1,flux_w2,flux_ivar_g,flux_ivar_r,flux_ivar_z
150.0000551107865,5.920536611058802,PSF,0.119868,0.21604,0.424587,2.457599,7.295418,1713.9685,618.9773,69.494705
150.0000551820842,0.913405984050575,REX,0.738356,1.703206,4.447985,10.134736,6.807714,436.3977,136.46228,22.973528
150.000055335307,-3.755291199652045,REX,0.186436,0.460073,0.734931,4.741132,-0.22722,398.75397,135.99306,41.72522
150.00005533811122,11.722401014099477,PSF,0.286979,0.938909,7.913785,7.515072,2.191496,1519.9741,610.8048,75.6073
150.00005540112923,2.525175111914484,PSF,0.209549,0.250327,0.945961,2.343953,-0.421671,1166.0375,661.9348,95.71305
150.00005552417295,28.56255343473321,REX,0.092735,0.268768,1.781855,11.484857,5.63874,878.8522,261.06845,59.947784
150.00005664582812,-6.531806121158297,PSF,0.214279,0.426601,1.061676,2.788243,3.303136,1454.0312,792.6915,144.38951
150.0000570153908,-27.901356708800908,PSF,0.0,0.0,0.784599,2.273346,1.010805,0.0,0.0,109.67463
150.00005778626232,26.907132179605394,REX,0.160091,0.443397,1.64766,10.042892,6.179114,1177.6711,445.25616,89.694145
150.00005779486963,4.121532301929696,DEV,0.548322,2.538865,6.94494,16.198399,8.888676,544.1511,210.88112,49.104744
150.00005786891023,-20.70234085087341,PSF,0.0,0.0,2.555706,3.81703,4.756357,0.0,0.0,33.19938
150.00005861351025,13.3542511973892,PSF,0.143196,0.595497,1.37857,5.276035,1.565364,857.1736,449.8176,88.25711
150.0000592081671,5.5446024910503136,PSF,49.36226,195.71754,1073.7966,869.4357,546.99634,341.15994,77.81675,4.224471
150.00005936169396,-27.958030814538144,PSF,0.0,0.0,3.350023,0.419242,-0.485983,0.0,0.0,90.4427
150.0000595121984,3.8085531304329874,PSF,0.169148,0.044312,0.01768,0.095765,-0.826205,1151.3689,622.1368,146.45486
150.0000596756462,1.4599817954639414,PSF,0.39956,0.763713,1.093752,0.682466,-0.939291,1157.3943,419.47278,84.921814
150.0000596959643,-4.529985184555284,REX,0.155721,0.264808,0.202692,-0.748592,1.5124,881.3739,304.39178,76.6534
150.00005996466928,20.54928368018617,PSF,0.184226,0.187084,0.425772,1.765571,-1.479793,1605.8074,644.1519,130.01703
150.0000601158774,5.02293630221895,PSF,5.117103,8.051706,9.530665,1.990297,2.00442,677.1711,304.8797,107.48511
150.00006046575686,22.357043726326147,PSF,0.147341,0.243636,0.34567,-0.366177,0.685951,1399.3031,569.1504,166.2105
150.00006136858255,24.94550358738636,PSF,0.124917,0.140548,0.130992,0.841647,-6.667786,2811.1587,947.118,248.7163
150.00006169488995,0.0497248437391702,REX,0.187326,0.177454,0.230338,0.270966,-0.384236,1024.8995,391.67145,63.345078
150.00006187375618,25.486937752016942,REX,0.022974,0.126717,0.996722,12.281886,13.559914,1873.0311,479.7534,91.47336
150.0000623177715,0.9544499191219232,REX,0.335651,0.284414,0.664275,0.258115,-2.166363,867.06934,439.9145,70.38728
150.00006294291495,0.7309639212369224,EXP,0.547827,1.278819,2.275256,2.677975,-0.981624,1354.7869,463.23975,89.49768
150.0000631810948,6.954159784181726,REX,0.808355,1.560662,2.14301,-0.281683,-4.381122,521.95557,206.46448,43.323593
150.00006347049015,1.2592066577681322,REX,0.02843,0.301568,1.344441,7.291065,5.508414,1748.7007,651.43945,104.36817
150.00006376779302,8.150145404499494,REX,0.116715,0.384561,1.700061,21.795431,18.282982,928.5828,208.83972,68.02693
150.0000637950137,3.226832036158971,REX,0.294923,0.477877,1.703821,2.300571,1.161378,266.85132,131.77547,17.547356
150.00006387608687,16.837530041564186,PSF,0.796194,2.795167,9.94806,4.985603,0.132071,1731.1241,470.7206,113.7802
